--Top 100 airports by departure volume, 2007-2016

origin   flights
ATL     3979633
ORD     3129746
DFW     2665558
DEN     2325253
LAX     2152295
PHX     1803653
IAH     1756445
SFO     1542534
LAS     1517040
DTW     1346645
MSP     1251866
CLT     1242187
MCO     1219172
EWR     1216022
SLC     1209104
BOS     1144833
SEA     1083783
JFK     1080316
LGA     1059115
BWI     1009775
MDW     880208
PHL     850321
SAN     814222
DCA     783838
MIA     725593
TPA     700636
FLL     686896
IAD     667299
STL     573665
BNA     554222
HOU     553800
PDX     545071
HNL     533690
DAL     522421
OAK     508286
CLE     507932
MCI     504701
MEM     478393
RDU     473093
CVG     461956
SMF     457186
SJC     456209
AUS     454670
SNA     431178
MSY     397164
SAT     383146
MKE     375925
PIT     340972
IND     334820
ABQ     309242
CMH     294335
RSW     275078
JAX     264173
BUR     259964
ONT     253800
PBI     250942
SJU     241358
BDL     238279
BUF     225681
OMA     224527
OGG     221770
OKC     216377
TUS     211424
TUL     194738
RNO     192883
ELP     189336
BHM     182011
ANC     180605
RIC     176263
PVD     168614
SDF     166297
LIT     151793
ORF     146544
CHS     140097
BOI     137249
LGB     132494
DSM     127900
KOA     126733
GRR     125544
LIH     123803
DAY     123168
MHT     119625
XNA     119498
GEG     118222
COS     117266
FAT     115308
TYS     113762
PSP     113228
ROC     112709
ICT     112561
ALB     107830
MSN     107522
SAV     103474
SBA     101841
JAN     100960
GSO     98068
GSP     96155
HPN     93678
PNS     91136
SYR     87340

