--Departing airports with the highest proportion of delayed flights, where flights per day > 2
origin  delay_proportion        flights_per_year
MDW     0.43145711013760385     88020.8
HOU     0.4275929938605995      55380.0
DAL     0.40123578493207585     52242.1
BWI     0.38164739669728404     100977.5
EWR     0.37272598686536923     121602.2
DEN     0.36332175466497624     232525.3
DFW     0.36293714111641917     266555.8
ORD     0.36244794305991607     312974.6
MIA     0.35827109688213643     72559.3
TTN     0.3562427297402094      1031.6
ACV     0.3541397902814991      3023.1
OAK     0.35152650279567016     50828.6
LAS     0.34971127986078154     151704.0
IAH     0.34878006427756064     175644.5
STL     0.3474187897117656      57366.5
MOD     0.34479063002373117     1306.3
CIC     0.3410695290590852      1034.1
BNA     0.3403166961975526      55422.2
FLL     0.3363959027276327      68689.6
SFO     0.3360658500882314      154253.4
ISP     0.331645604738587       7208.9
IAD     0.32484088841733616     66729.9
BQN     0.3236278447121821      1494.0
PBI     0.3229471351945868      25094.2
ABQ     0.32264375472930584     30924.2


--Departing airports with the highest proportion of long delayed flights, where flights per day > 2 and delay > 1 hour
origin  delay_proportion        flights_per_year
ACV     0.1271873242697893      3023.1
CIC     0.11130451600425491     1034.1
RDD     0.10247401551749377     1366.2
MOD     0.09821633621679553     1306.3
EWR     0.0893503571481437      121602.2
MFR     0.08760773988424948     4025.9
TTN     0.08481969755719271     1031.6
ORD     0.08225811295868739     312974.6
SFO     0.07864267497507349     154253.4
ROA     0.07763334533905242     3054.1
CAE     0.07732137135533483     7802.5
EGE     0.07670957553715844     2089.7
BTV     0.0766239488152022      5220.3
ASE     0.07612755575706544     4631.7
PFN     0.07499607350400503     1273.4
DHN     0.07390465299120863     1399.1
BGR     0.07336093857832988     1449.0
JFK     0.0731767371769001      108031.6
SPI     0.07313707451701931     1739.2
CRW     0.07301753467678618     3438.9
AVL     0.07213309566250743     4207.5
IAD     0.071810387847127       66729.9
SBN     0.07176216216216216     4625.0
XNA     0.07149910458752448     11949.8
SBP     0.07132640612511043     4754.2
