origin,carrierdelay_greatest,weatherdelay_greatest,nasdelay_greatest,securitydelay_greatest,lateaircraftdelay_greatest
ABE,0,0,0,0,1
ABI,1,0,0,0,0
ABQ,0,0,0,0,1
ABR,1,0,0,0,0
ABY,0,0,0,0,1
ACK,0,0,0,0,1
ACT,0,0,0,0,1
ACV,0,0,0,0,1
ACY,0,0,1,0,0
ADK,0,0,0,1,0
ADQ,0,0,0,0,1
AEX,0,0,0,0,1
AGS,0,0,0,0,1
AKN,0,0,0,0,1
ALB,0,0,0,0,1
ALO,1,0,0,0,0
AMA,0,0,0,0,1
ANC,1,0,0,0,0
APN,0,0,0,0,1
ART,1,0,0,0,0
ASE,0,0,0,0,1
ATL,1,0,0,0,0
ATW,0,0,0,0,1
AUS,0,0,0,0,1
AVL,0,0,0,0,1
AVP,1,0,0,0,0
AZA,0,0,0,0,1
AZO,0,0,0,0,1
BDL,0,0,0,0,1
BET,0,0,0,0,1
BFF,1,1,1,1,1
BFL,0,0,0,0,1
BGM,1,0,0,0,0
BGR,1,0,0,0,0
BHM,0,0,0,0,1
BIL,0,0,0,0,1
BIS,0,0,0,0,1
BJI,1,0,0,0,0
BKG,0,0,0,0,1
BLI,1,0,0,0,0
BMI,0,0,0,0,1
BNA,0,0,0,0,1
BOI,0,0,0,0,1
BOS,0,0,0,0,1
BPT,0,0,0,0,1
BQK,0,0,0,0,1
BQN,0,0,0,0,1
BRD,0,0,0,0,1
BRO,0,0,0,0,1
BRW,0,0,0,0,1
BTM,1,0,0,0,0
BTR,1,0,0,0,0
BTV,0,0,0,0,1
BUF,0,0,0,0,1
BUR,0,0,0,0,1
BWI,0,0,0,0,1
BZN,0,0,0,0,1
CAE,1,0,0,0,0
CAK,0,0,0,0,1
CDC,0,0,0,0,1
CDV,0,0,0,0,1
CEC,0,0,0,0,1
CHA,0,0,0,0,1
CHO,0,0,0,0,1
CHS,0,0,0,0,1
CIC,0,0,0,0,1
CID,0,0,0,0,1
CIU,1,0,0,0,0
CLD,0,0,0,0,1
CLE,0,0,0,0,1
CLL,0,0,0,0,1
CLT,1,0,0,0,0
CMH,0,0,0,0,1
CMI,1,0,0,0,0
CMX,0,0,0,0,1
CNY,0,0,0,0,1
COD,1,0,0,0,0
COS,1,0,0,0,0
COU,0,0,0,0,1
CPR,0,0,0,0,1
CRP,0,0,0,0,1
CRW,0,0,0,0,1
CSG,0,0,0,0,1
CVG,0,0,0,0,1
CWA,0,0,0,0,1
CYS,0,1,0,0,0
DAB,1,0,0,0,0
DAL,0,0,0,0,1
DAY,0,0,0,0,1
DBQ,0,0,0,0,1
DCA,0,0,0,0,1
DEN,0,0,0,0,1
DFW,0,0,0,0,1
DHN,0,0,0,0,1
DIK,0,0,1,0,0
DLG,0,0,0,0,1
DLH,0,0,0,0,1
DRO,0,0,0,0,1
DRT,0,0,0,0,1
DSM,0,0,0,0,1
DTW,1,0,0,0,0
DVL,0,0,0,0,1
EAU,0,0,0,0,1
ECP,0,0,0,0,1
EFD,0,0,1,0,0
EGE,0,0,0,0,1
EKO,0,0,0,0,1
ELM,0,0,0,0,1
ELP,0,0,0,0,1
ENV,1,1,1,1,1
ERI,0,0,1,0,0
ESC,0,0,0,0,1
EUG,0,0,0,0,1
EVV,0,0,0,0,1
EWN,0,0,0,0,1
EWR,0,0,0,0,1
EYW,0,0,0,0,1
FAI,0,0,0,0,1
FAR,0,0,0,0,1
FAT,1,0,0,0,0
FAY,0,0,0,0,1
FCA,0,0,0,0,1
FLG,0,0,0,0,1
FLL,0,0,0,0,1
FNT,0,0,0,0,1
FOE,0,0,1,0,0
FSD,0,0,0,0,1
FSM,0,0,0,0,1
FWA,0,0,0,0,1
GCC,0,0,0,0,1
GCK,1,0,0,0,0
GEG,0,0,0,0,1
GFK,0,0,0,0,1
GGG,0,0,0,0,1
GJT,0,0,0,0,1
GNV,0,0,0,0,1
GPT,0,0,0,0,1
GRB,0,0,0,0,1
GRI,1,0,0,0,0
GRK,0,0,0,0,1
GRR,0,0,0,0,1
GSO,0,0,0,0,1
GSP,0,0,0,0,1
GST,0,0,0,0,1
GTF,0,0,0,0,1
GTR,0,0,0,0,1
GUC,0,0,0,0,1
GUM,1,0,0,0,0
HDN,0,0,0,0,1
HIB,0,0,0,0,1
HLN,1,0,0,0,0
HNL,1,0,0,0,0
HOB,1,0,0,0,0
HOU,0,0,0,0,1
HPN,0,0,0,0,1
HRL,0,0,0,0,1
HSV,0,0,0,0,1
HYA,0,0,1,0,0
HYS,0,0,0,0,1
IAD,0,0,0,0,1
IAG,0,0,0,0,1
IAH,0,0,0,0,1
ICT,0,0,0,0,1
IDA,0,0,0,0,1
ILG,0,0,1,0,0
ILM,0,0,0,0,1
IMT,0,0,0,0,1
IND,0,0,0,0,1
INL,1,0,0,0,0
IPL,0,0,0,0,1
ISN,0,0,0,0,1
ISP,0,0,0,0,1
ITH,1,0,0,0,0
ITO,0,0,0,0,1
IYK,1,0,0,0,0
JAC,0,0,0,0,1
JAN,0,0,0,0,1
JAX,0,0,0,0,1
JFK,1,0,0,0,0
JLN,1,0,0,0,0
JMS,0,0,0,0,1
JNU,0,0,0,0,1
KOA,0,0,0,0,1
KTN,0,0,0,0,1
LAN,0,0,0,0,1
LAR,0,0,0,0,1
LAS,0,0,0,0,1
LAW,0,0,0,0,1
LAX,0,0,0,0,1
LBB,0,0,0,0,1
LBE,0,0,1,0,0
LCH,0,0,0,0,1
LEX,0,0,0,0,1
LFT,0,0,0,0,1
LGA,0,0,0,0,1
LGB,0,0,0,0,1
LIH,0,0,0,0,1
LIT,0,0,0,0,1
LMT,1,0,0,0,0
LNK,0,0,0,0,1
LRD,0,0,0,0,1
LSE,0,0,0,0,1
LWB,0,0,0,0,1
LWS,0,0,0,0,1
MAF,0,0,0,0,1
MBS,0,0,0,0,1
MCI,0,0,0,0,1
MCN,1,0,0,0,0
MCO,0,0,0,0,1
MDT,0,0,0,0,1
MDW,0,0,0,0,1
MEI,0,0,0,0,1
MEM,0,0,0,0,1
MFE,0,0,0,0,1
MFR,0,0,0,0,1
MGM,0,0,0,0,1
MHK,0,0,0,0,1
MHT,0,0,0,0,1
MIA,1,0,0,0,0
MKE,0,0,0,0,1
MKG,0,0,0,0,1
MLB,0,0,0,0,1
MLI,0,0,0,0,1
MLU,0,0,0,0,1
MMH,0,0,1,0,0
MOB,0,0,0,0,1
MOD,0,0,0,0,1
MOT,0,0,0,0,1
MQT,1,0,0,0,0
MRY,0,0,0,0,1
MSN,0,0,0,0,1
MSO,0,0,0,0,1
MSP,1,0,0,0,0
MSY,0,0,0,0,1
MTJ,0,0,0,0,1
MVY,0,0,1,0,0
MYR,0,0,0,0,1
OAJ,0,0,0,0,1
OAK,0,0,0,0,1
OGG,0,0,0,0,1
OKC,0,0,0,0,1
OMA,0,0,0,0,1
OME,0,0,0,0,1
ONT,0,0,0,0,1
ORD,0,0,0,0,1
ORF,0,0,0,0,1
ORH,0,0,0,0,1
OTH,0,0,0,0,1
OTZ,0,0,0,0,1
PAH,0,0,0,0,1
PBG,0,0,1,0,0
PBI,0,0,0,0,1
PDX,0,0,0,0,1
PGD,0,0,0,0,1
PHF,0,0,0,0,1
PHL,0,0,0,0,1
PHX,0,0,0,0,1
PIA,0,0,0,0,1
PIB,1,0,0,0,0
PIH,0,0,0,0,1
PIT,0,0,0,0,1
PLN,0,0,0,0,1
PNS,0,0,0,0,1
PPG,1,0,0,0,0
PSC,0,0,0,0,1
PSE,0,0,0,0,1
PSG,0,0,0,0,1
PSP,0,0,0,0,1
PUB,0,0,0,0,1
PVD,0,0,0,0,1
PWM,0,0,0,0,1
RAP,0,0,0,0,1
RDD,0,0,0,0,1
RDM,0,0,0,0,1
RDU,0,0,0,0,1
RFD,1,0,0,0,0
RHI,0,0,0,0,1
RIC,0,0,0,0,1
RKS,0,0,0,0,1
RNO,0,0,0,0,1
ROA,0,0,0,0,1
ROC,0,0,0,0,1
ROW,0,0,0,0,1
RST,0,0,0,0,1
RSW,0,0,0,0,1
SAF,0,0,0,0,1
SAN,0,0,0,0,1
SAT,0,0,0,0,1
SAV,0,0,0,0,1
SBA,0,0,0,0,1
SBN,0,0,0,0,1
SBP,0,0,0,0,1
SCC,0,0,0,0,1
SCE,0,0,0,0,1
SDF,0,0,0,0,1
SEA,1,0,0,0,0
SFO,0,0,0,0,1
SGF,0,0,0,0,1
SGU,0,0,0,0,1
SHD,1,0,0,0,0
SHV,0,0,0,0,1
SIT,0,0,0,0,1
SJC,0,0,0,0,1
SJT,0,0,0,0,1
SJU,0,0,0,0,1
SLC,1,0,0,0,0
SMF,0,0,0,0,1
SMX,0,0,0,0,1
SNA,0,0,0,0,1
SPI,0,0,0,0,1
SPN,1,0,0,0,0
SPS,0,0,0,0,1
SRQ,0,0,0,0,1
STC,0,0,1,0,0
STL,0,0,0,0,1
STT,0,0,0,0,1
STX,0,0,0,0,1
SUN,0,0,0,0,1
SUX,1,0,0,0,0
SWF,0,0,0,0,1
SYR,0,0,0,0,1
TLH,0,0,0,0,1
TOL,0,0,1,0,0
TPA,0,0,0,0,1
TRI,0,0,0,0,1
TTN,0,0,0,0,1
TUL,0,0,0,0,1
TUS,0,0,0,0,1
TVC,0,0,0,0,1
TWF,0,0,0,0,1
TXK,0,0,0,0,1
TYR,0,0,0,0,1
TYS,0,0,0,0,1
UST,0,0,0,0,1
VEL,0,0,0,0,1
VLD,0,0,0,0,1
VPS,0,0,0,0,1
WRG,0,0,0,0,1
WYS,0,0,0,0,1
XNA,0,0,0,0,1
YAK,0,0,0,0,1
YUM,0,0,0,0,1
