ATL	0.033	0.018	0.016	0.021	0.035	0.061	0.055	0.045	0.024	0.014	0.024	0.037
BOS	0.048	0.053	0.043	0.022	0.008	0.014	0.026	0.02	0.012	0.012	0.011	0.045
BWI	0.039	0.021	0.059	0	0	0	0	0	0	0	0	0.06
CLT	0.013	0.035	0.012	0.01	0.04	0.055	0.061	0.039	0.029	0.005	0.004	0.012
DFW	0.06	0.079	0.078	0.126	0.108	0.203	0.118	0.093	0.053	0.07	0.049	0.09
DTW	0.035	0.029	0.019	0.012	0.014	0.023	0.026	0.017	0.011	0.003	0.015	0.032
EWR	0.04	0.037	0.035	0.01	0.017	0.028	0.045	0.03	0.011	0.011	0.014	0.034
IAH	0.022	0.012	0.026	0.022	0.041	0.059	0.042	0.052	0.025	0.019	0.016	0.02
JFK	0.088	0.096	0.059	0.021	0.017	0.033	0.055	0.034	0.014	0.017	0.023	0.052
LAS	0.011	0.016	0.013	0.029	0.015	0.057	0.016	0.037	0.031	0.027	0.037	0.009
LAX	0.012	0.009	0.013	0.006	0.006	0.003	0.029	0.008	0.004	0.004	0.005	0.011
LGA	0.064	0.052	0.04	0.021	0.022	0.027	0.04	0.038	0.023	0.021	0.033	0.049
MCO	0.009	0.012	0.034	0.043	0.036	0.057	0.054	0.059	0.04	0.016	0.013	0.006
MDW	0.038	0.031	0.017	0.019	0.025	0.037	0.036	0.048	0.023	0.013	0.021	0.029
ORD	0.133	0.135	0.079	0.061	0.045	0.055	0.054	0.062	0.041	0.017	0.068	0.119
PHX	0.004	0.009	0.012	0.005	0.017	0.01	0.029	0.026	0.017	0.015	0.01	0.006
SAN	0.011	0.008	0.012	0.005	0.005	0.052	0.039	0.014	0.006	0.004	0.008	0.01
SEA	0.024	0.005	0.006	0.002	0.002	0.005	0.017	0.015	0.005	0.004	0.008	0.018
SFO	0.008	0.009	0.01	0.009	0.011	0.006	0	0	0.008	0.009	0.008	0.014
SLC	0.029	0.017	0.01	0.012	0.005	0.008	0.006	0.006	0.008	0.004	0.017	0.041
TPA	0.005	0.006	0.02	0.014	0.057	0.044	0.044	0.05	0.028	0.012	0.009	0.008
