ATL	0.003	0.016	0.032	0.049	0.083	0.082	0.068	0.175
BOS	0.003	0.014	0.033	0.04	0.051	0.042	0.039	0.029
BWI	0.008	0.026	0.05	0.079	0.004	0.008	0	0
CLT	0.002	0.017	0.035	0.048	0.036	0.032	0.024	0.096
DCA	0.011	0	0	0	0	0	0	0
DEN	0.011	0	0	0	0	0	0	0
DFW	0.007	0.062	0.093	0.129	0.146	0.189	0.232	0.159
DTW	0.003	0.011	0.026	0.044	0.055	0.041	0.048	0.095
EWR	0.003	0.014	0.026	0.045	0.052	0.029	0.012	0.08
IAH	0.001	0.009	0.03	0.049	0.072	0.087	0.139	0.106
JFK	0.005	0.028	0.034	0.062	0.073	0.091	0.067	0.031
LAS	0.004	0.016	0.038	0.071	0.084	0.183	0	0
LAX	0.004	0.006	0.016	0.012	0.045	0.016	0	0
LGA	0.004	0.021	0.04	0.052	0.064	0.056	0.042	0.052
MCO	0.004	0.021	0.042	0.068	0.076	0.068	0.129	0.102
MDW	0.006	0.019	0.034	0.048	0.048	0.111	0.056	0.105
MSP	0.008	0	0	0	0	0	0	0
ORD	0.011	0.05	0.073	0.094	0.109	0.143	0.152	0.294
PHL	0.009	0	0	0	0	0	0	0
PHX	0.002	0.009	0.028	0.042	0.005	0.066	0	0.052
SAN	0.003	0.006	0.013	0.016	0.069	0.018	0	0
SEA	0.003	0.006	0.006	0.016	0.013	0.004	0.018	0
SFO	0.005	0.007	0.011	0.019	0.021	0.025	0	0.028
SLC	0.003	0.008	0.027	0.045	0.054	0	0	0
TPA	0.003	0.015	0.03	0.047	0.059	0.055	0.084	0.119
