likelihood_monthly_pivot.origin,likelihood_monthly_pivot.jan,likelihood_monthly_pivot.feb,likelihood_monthly_pivot.mar,likelihood_monthly_pivot.apr,likelihood_monthly_pivot.may,likelihood_monthly_pivot.jun,likelihood_monthly_pivot.jul,likelihood_monthly_pivot.aug,likelihood_monthly_pivot.sep,likelihood_monthly_pivot.oct,likelihood_monthly_pivot.nov,likelihood_monthly_pivot.dec
ATL,0.035,0.028,0.035,0.03,0.035,0.061,0.056,0.042,0.031,0.026,0.027,0.04
BOS,0.057,0.053,0.037,0.026,0.014,0.025,0.035,0.026,0.014,0.015,0.014,0.055
BWI,0.021,0.01,0.02,0.012,0.013,0.026,0.022,0.028,0.011,0.007,0.005,0.024
CLT,0.02,0.028,0.016,0.015,0.029,0.049,0.048,0.038,0.02,0.003,0.004,0.016
DCA,0.044,0.042,0.038,0.017,0.017,0.049,0.044,0.033,0.013,0.01,0.007,0.036
DEN,0.054,0.033,0.034,0.03,0.031,0.045,0.04,0.037,0.016,0.024,0.038,0.068
DFW,0.103,0.116,0.105,0.112,0.121,0.222,0.148,0.114,0.08,0.069,0.05,0.101
DTW,0.028,0.033,0.021,0.015,0.025,0.035,0.03,0.024,0.015,0.008,0.017,0.03
EWR,0.052,0.051,0.045,0.024,0.02,0.036,0.042,0.039,0.019,0.022,0.019,0.064
IAH,0.038,0.033,0.062,0.049,0.061,0.087,0.083,0.076,0.033,0.053,0.026,0.051
JFK,0.064,0.079,0.053,0.029,0.025,0.041,0.059,0.052,0.025,0.024,0.022,0.055
LAS,0.022,0.014,0.012,0.02,0.019,0.077,0.021,0.049,0.033,0.039,0.028,0.018
LAX,0.012,0.006,0.009,0.005,0.005,0.002,0.025,0.008,0.006,0.004,0.005,0.01
LGA,0.062,0.059,0.048,0.033,0.03,0.037,0.051,0.045,0.028,0.028,0.03,0.059
MCO,0.012,0.013,0.034,0.036,0.04,0.056,0.052,0.045,0.032,0.012,0.011,0.006
MDW,0.043,0.041,0.024,0.02,0.028,0.041,0.033,0.045,0.017,0.012,0.017,0.05
MSP,0.018,0.031,0.021,0.019,0.018,0.029,0.034,0.022,0.015,0.012,0.023,0.036
ORD,0.133,0.131,0.075,0.054,0.044,0.051,0.049,0.057,0.033,0.015,0.047,0.131
PHL,0.032,0.038,0.023,0.017,0.021,0.043,0.046,0.049,0.019,0.015,0.014,0.033
PHX,0.009,0.007,0.024,0.006,0.009,0.009,0.028,0.022,0.016,0.02,0.009,0.009
SAN,0.013,0.017,0.014,0.005,0.007,0.018,0.029,0.014,0.016,0.008,0.012,0.015
SEA,0.019,0.007,0.007,0.002,0.002,0.005,0.01,0.009,0.004,0.004,0.01,0.033
SFO,0.013,0.01,0.008,0.007,0.007,0.004,0,0.009,0.005,0.009,0.008,0.012
SLC,0.038,0.015,0.012,0.009,0.004,0.005,0.004,0.008,0.007,0.004,0.018,0.047
TPA,0.008,0.01,0.033,0.021,0.042,0.051,0.052,0.045,0.027,0.013,0.007,0.005
