Origin,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday
JFK,8.0,19.0,8.0,2.0,2.0,2.0,8.0,8.0,8.0,2.0
ATL,4.0,4.0,4.0,21.0,4.0,4.0,21.0,41.0,4.0,4.0
BOS,2.0,17.0,11.0,2.0,5.0,5.0,11.0,5.0,5.0,2.0
MSP,2.0,13.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0
DEN,18.0,18.0,3.0,18.0,33.0,33.0,3.0,3.0,18.0,3.0
DTW,2.0,2.0,2.0,6.0,6.0,6.0,16.0,6.0,2.0,2.0
SAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DCA,4.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0
SEA,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0
BWI,4.0,5.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0
MDW,1.0,1.0,12.0,5.0,5.0,12.0,12.0,5.0,1.0,5.0
IAH,1.0,1.0,12.0,1.0,1.0,28.0,12.0,1.0,1.0,1.0
TPA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,3.0
DFW,7.0,51.0,7.0,7.0,7.0,91.0,7.0,7.0,7.0,7.0
CLT,13.0,5.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0
EWR,7.0,22.0,7.0,2.0,2.0,2.0,7.0,7.0,7.0,2.0
SLC,7.0,4.0,7.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0
MCO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0
PHL,3.0,11.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,1.0
LGA,8.0,20.0,8.0,2.0,2.0,2.0,8.0,8.0,8.0,2.0
SFO,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PHX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LAX,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ORD,9.0,9.0,73.0,42.0,42.0,64.0,73.0,42.0,9.0,42.0
LAS,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
