delay_cause_total_year.year,delay_cause_total_year.carrierdelay_total,delay_cause_total_year.weatherdelay_total,delay_cause_total_year.nasdelay_total,delay_cause_total_year.securitydelay_total,delay_cause_total_year.lateaircraftdelay_total
2007,28827070,5745298,28209475,176946,38006943
2008,24048217,4633717,26171501,114316,31670242
2009,18506063,3290377,20220286,78826,23910267
2010,19217505,2785212,16229118,107410,24918253
2011,18553241,2558373,15303210,81353,25179765
2012,18165456,2279810,12828822,73052,23569552
2013,21136897,2974153,17426866,103651,30296035
2014,21259409,2988669,16519549,65350,29483984
2015,20172956,3100233,14335762,80985,24961931
2016,19533337,2606083,14170617,81925,23458398
