origin,delayprop,flightsperyear
EWR,0.0893503571481437,121602.2
ORD,0.08225811295868739,312974.6
SFO,0.07864267497507349,154253.4
JFK,0.0731767371769001,108031.6
IAD,0.071810387847127,66729.9
XNA,0.07149910458752448,11949.8
GSO,0.06974752212750336,9806.8
HPN,0.06905570144537672,9367.8
SBA,0.06827309236947791,10184.1
SYR,0.0679070299977101,8734.0
MIA,0.06787000425858573,72559.3
SAV,0.067108645650115,10347.4
LGA,0.06701916222506527,105911.5
ROC,0.06613491380457638,11270.9
TYS,0.06512719537279583,11376.2
PHL,0.06461677413588515,85032.1
DFW,0.06322653643252182,266555.8
RIC,0.06321803214514674,17626.3
PBI,0.06310223079436683,25094.2
FLL,0.061632328620344276,68689.6
CHS,0.06142172923046175,14009.7
MSN,0.06136418593404141,10752.2
GSP,0.0606312724247309,9615.5
DSM,0.06008600469116497,12790.0
LIT,0.0594493817237949,15179.3
