worst_dayofweek_final.origin,worst_dayofweek_final.worst_dayofweek
ABE,Monday
ABI,Monday
ABQ,Friday
ABR,Monday
ABY,Sunday
ACK,Tuesday
ACT,Monday
ACV,Friday
ACY,Tuesday
ADK,Thursday
ADQ,Saturday
AEX,Monday
AGS,Monday
AKN,Monday
ALB,Friday
ALO,Saturday
AMA,Thursday
ANC,Friday
APF,Saturday
APN,Wednesday
ART,Sunday
ASE,Saturday
ATL,Friday
ATW,Monday
AUS,Friday
AVL,Monday
AVP,Monday
AZA,Wednesday
AZO,Monday
BDL,Thursday
BET,Saturday
BFF,Thursday
BFL,Sunday
BGM,Monday
BGR,Tuesday
BHM,Friday
BIL,Monday
BIS,Sunday
BJI,Tuesday
BKG,Tuesday
BLI,Monday
BMI,Monday
BNA,Thursday
BOI,Monday
BOS,Thursday
BPT,Thursday
BQK,Monday
BQN,Saturday
BRD,Sunday
BRO,Monday
BRW,Friday
BTM,Sunday
BTR,Monday
BTV,Friday
BUF,Thursday
BUR,Friday
BWI,Thursday
BZN,Saturday
CAE,Monday
CAK,Monday
CDC,Sunday
CDV,Sunday
CEC,Monday
CHA,Monday
CHO,Monday
CHS,Friday
CIC,Friday
CID,Monday
CIU,Monday
CLD,Sunday
CLE,Friday
CLL,Monday
CLT,Thursday
CMH,Friday
CMI,Friday
CMX,Friday
CNY,Thursday
COD,Monday
COS,Thursday
COU,Wednesday
CPR,Sunday
CRP,Monday
CRW,Monday
CSG,Friday
CVG,Friday
CWA,Monday
CYS,Sunday
DAB,Monday
DAL,Thursday
DAY,Friday
DBQ,Monday
DCA,Thursday
DEN,Thursday
DFW,Thursday
DHN,Friday
DIK,Wednesday
DLG,Thursday
DLH,Monday
DRO,Monday
DRT,Tuesday
DSM,Monday
DTW,Thursday
DVL,Sunday
EAU,Sunday
ECP,Monday
EFD,Sunday
EGE,Saturday
EKO,Sunday
ELM,Monday
ELP,Friday
ENV,Monday
ERI,Thursday
ESC,Sunday
EUG,Monday
EVV,Monday
EWN,Monday
EWR,Thursday
EYW,Saturday
FAI,Friday
FAR,Monday
FAT,Friday
FAY,Monday
FCA,Saturday
FLG,Friday
FLL,Friday
FLO,Monday
FNT,Monday
FOE,Friday
FSD,Monday
FSM,Monday
FWA,Monday
GCC,Thursday
GCK,Sunday
GEG,Friday
GFK,Sunday
GGG,Monday
GJT,Thursday
GLH,Thursday
GNV,Monday
GPT,Sunday
GRB,Monday
GRI,Saturday
GRK,Sunday
GRR,Monday
GSO,Monday
GSP,Monday
GST,Saturday
GTF,Sunday
GTR,Monday
GUC,Saturday
GUM,Wednesday
HDN,Saturday
HHH,Monday
HIB,Saturday
HLN,Sunday
HNL,Friday
HOB,Thursday
HOU,Thursday
HPN,Friday
HRL,Thursday
HSV,Friday
HTS,Friday
HYA,Saturday
HYS,Monday
IAD,Thursday
IAG,Wednesday
IAH,Thursday
ICT,Monday
IDA,Sunday
ILG,Sunday
ILM,Monday
IMT,Monday
IND,Thursday
INL,Thursday
IPL,Friday
ISN,Thursday
ISO,Wednesday
ISP,Thursday
ITH,Thursday
ITO,Friday
IYK,Sunday
JAC,Saturday
JAN,Monday
JAX,Friday
JFK,Friday
JLN,Sunday
JMS,Sunday
JNU,Friday
KOA,Friday
KTN,Friday
LAN,Monday
LAR,Sunday
LAS,Friday
LAW,Monday
LAX,Friday
LBB,Thursday
LBE,Friday
LCH,Monday
LEX,Monday
LFT,Monday
LGA,Friday
